todayNumber,lifePathNumber,character,messageType,variant,colorName,body,action1,action2,notes
1,1,owl,base,A,赤,今日の「1」の空気は、あなたの始める力をそっと後押ししてくれそうです。大きく動かなくても、小さな一歩で十分です。,気になっていたことをひとつ始める,今日の目標を短く書いてみる,UD1×LP1×owl base variant A
1,1,owl,base,B,赤,今日の「1」の空気は、あなたの行動に小さなきっかけをくれそうです。気になっていたことを、日常の中でひとつだけ動かしてみてください。,後回しにしていたことを少し始める,今日やることをひとつだけ決める,UD1×LP1×owl base variant B
1,1,owl,base,C,赤,今日の「1」の空気は、あなたの中にある小さなはじまりに光を当ててくれそうです。まだ形になっていない気持ちも、今日の大切な記録です。,心に浮かんだ始まりを一行残す,今日の小さな決意を書いてみる,UD1×LP1×owl base variant C
1,2,owl,base,A,白,今日の「1」の空気は、あなたのやさしい気持ちに小さな意志を添えてくれそうです。誰かに合わせすぎず、自分の一歩も選んでみてください。,自分の気持ちを一行だけ書く,心地よい距離をひとつ選ぶ,UD1×LP2×owl base variant A
1,2,owl,base,B,白,今日の「1」の空気は、あなたの人との関わりに小さな意思を添えてくれそうです。合わせるだけでなく、自分からひとこと伝えてみてください。,自分から短い連絡をする,「私はこう思う」をやさしく伝える,UD1×LP2×owl base variant B
1,2,owl,base,C,白,今日の「1」の空気は、あなたのやさしい心に自分で選ぶ力を思い出させてくれそうです。誰かといる中で感じた自分の気持ちを、そっと残してみてください。,人との間で感じたことを書く,自分の心地よさを振り返る,UD1×LP2×owl base variant C
1,3,owl,base,A,黄色,今日の「1」の空気は、あなたの中にある言葉やひらめきを外へ出しやすくしてくれそうです。まずは思いついたことを、ひとつ形にしてみてください。,浮かんだ言葉をメモする,小さな発信やひとことを書く,UD1×LP3×owl base variant A
1,3,owl,base,B,黄色,今日の「1」の空気は、あなたの言葉にはじまりの力をくれそうです。思いついたことを、メモやひとことにして外へ出してみてください。,思いついた言葉をすぐ書く,小さな発信をひとつしてみる,UD1×LP3×owl base variant B
1,3,owl,base,C,黄色,今日の「1」の空気は、あなたの中に浮かぶ言葉へはじまりの光を届けてくれそうです。うまくまとまらないひとことも、今のあなたらしい表現です。,浮かんだ言葉をそのまま残す,今日の気分を一言で書く,UD1×LP3×owl base variant C
1,4,owl,base,A,緑,今日の「1」の空気は、あなたの毎日のつみ重ねに新しい一歩を加えてくれそうです。急がず、できることをひとつ始めてみてください。,今日の予定をひとつ決める,小さな習慣をひとつ始める,UD1×LP4×owl base variant A
1,4,owl,base,B,緑,今日の「1」の空気は、あなたの毎日に新しい習慣の芽をくれそうです。大きく変えず、続けられそうなことをひとつ足してみてください。,小さな習慣をひとつ始める,明日のために一か所整える,UD1×LP4×owl base variant B
1,4,owl,base,C,緑,今日の「1」の空気は、あなたの毎日の中に新しい芽を見つけてくれそうです。小さく始めたことが、あとから安心につながるかもしれません。,今日始めた小さなことを書く,続けたい気持ちを一行残す,UD1×LP4×owl base variant C
1,5,owl,base,A,青,今日の「1」の空気は、あなたの自由な感覚に新しい風を運んでくれそうです。いつもと少し違う選択を、ひとつ試してみてください。,行き方や順番を少し変える,気になることを軽く試してみる,UD1×LP5×owl base variant A
1,5,owl,base,B,青,今日の「1」の空気は、あなたの自由な動きに新しい入口を見せてくれそうです。予定の中に、小さな自由をひとつ入れてみてください。,いつもと違う選択をひとつする,気になる場所や情報に触れてみる,UD1×LP5×owl base variant B
1,5,owl,base,C,青,今日の「1」の空気は、あなたの心に新しい風の入口を作ってくれそうです。どこかへ大きく進まなくても、気持ちが少し動いたなら十分です。,心が動いた瞬間を残す,今日選んだ小さな自由を書く,UD1×LP5×owl base variant C
1,6,owl,base,A,ピンク,今日の「1」の空気は、あなたの優しさを新しい形で使いやすくしてくれそうです。誰かのためだけでなく、自分のための一歩も大切にしてください。,自分に小さなごほうびを用意する,頼まれごとをひとつ見直す,UD1×LP6×owl base variant A
1,6,owl,base,B,ピンク,今日の「1」の空気は、あなたの優しさに新しい向け方を教えてくれそうです。誰かのためだけでなく、自分のための行動もひとつ選んでください。,自分のための予定をひとつ入れる,頼まれごとの前に一呼吸おく,UD1×LP6×owl base variant B
1,6,owl,base,C,ピンク,今日の「1」の空気は、あなたの優しさに新しいあたたかさを灯してくれそうです。誰かを思う気持ちの中に、自分を大切にする場所も作ってください。,自分に向ける優しさを書く,心があたたかくなったことを残す,UD1×LP6×owl base variant C
1,7,owl,base,A,紺・藍色,今日の「1」の空気は、あなたの中にある問いを新しい気づきへ向けてくれそうです。答えを急がず、気になることを少し深めてみてください。,気になった言葉を調べてみる,考えたことを一行だけ残す,UD1×LP7×owl base variant A
1,7,owl,base,B,紺・藍色,今日の「1」の空気は、あなたの気づきに小さな入口を作ってくれそうです。気になっていることを、そのままにせず少しだけ調べてみてください。,気になることを検索してみる,考えたことを短く残す,UD1×LP7×owl base variant B
1,7,owl,base,C,紺・藍色,今日の「1」の空気は、あなたの静かな問いに小さな入口を見せてくれそうです。答えにならない気づきも、今日のあなたを照らす記録になります。,心に残った問いを書く,気づいたことを一行残す,UD1×LP7×owl base variant C
1,8,owl,base,A,オレンジ・茶色,今日の「1」の空気は、あなたの力を新しい行動へつなげてくれそうです。大きな結果より、まずは一歩進めた手ごたえを大切にしてください。,進めたいことをひとつ始める,今日の優先順位を決める,UD1×LP8×owl base variant A
1,8,owl,base,B,オレンジ・茶色,今日の「1」の空気は、あなたの進める力に最初の一手をくれそうです。結果を急がず、今日できる行動をひとつ形にしてみてください。,最初にやることを決める,進めたいことを少しだけ実行する,UD1×LP8×owl base variant B
1,8,owl,base,C,オレンジ・茶色,今日の「1」の空気は、あなたの中にある力をやさしく目覚めさせてくれそうです。大きな結果より、今日動かした小さな一歩を覚えておいてください。,今日進めたことを一行書く,手ごたえを感じた瞬間を残す,UD1×LP8×owl base variant C
1,9,owl,base,A,紫,今日の「1」の空気は、あなたの広いまなざしに新しい始まりを見せてくれそうです。すべてを抱えず、今の自分に必要な一歩を選んでみてください。,抱えていることをひとつ整理する,今できることをひとつ選ぶ,UD1×LP9×owl base variant A
1,9,owl,base,B,紫,今日の「1」の空気は、あなたの広い心に新しい選択肢を見せてくれそうです。抱えていることの中から、今できる一歩だけを選んでみてください。,今できることをひとつ書く,抱えていることを一度整理する,UD1×LP9×owl base variant B
1,9,owl,base,C,紫,今日の「1」の空気は、あなたの広い心に新しい始まりの種を置いてくれそうです。抱えてきたものの中から、これから大切にしたいものを選んでみてください。,これから大切にしたいことを書く,心に残したい気持ちを選ぶ,UD1×LP9×owl base variant C
1,11,owl,base,A,シルバー,今日の「1」の空気は、あなたのひらめきに小さな始まりの光を当ててくれそうです。まだ説明できなくても、感じたことを残してみてください。,浮かんだ直感をメモする,静かな時間を少しつくる,UD1×LP11×owl base variant A
