todayNumber,season,specialSeason,variant,title,summaryMessage,colorName,themeKeywords,toneNotes,avoidNotes,notes
1,base,,A,新しい一歩をはじめる日,今日は、小さな始まりに光が当たりやすい日。大きく変えなくても大丈夫。「やってみようかな」の気持ちを、ひとつ形にしてみてください。,,,,,UD1 base A
1,base,,B,小さく試してみる日,今日は、気になっていたことに少し手を伸ばしやすい日。大きな決心でなくても大丈夫。まずは、できそうなことをひとつ試してみてください。,,,,,UD1 base B
1,base,,C,はじまりを見つける日,今日は、心の中にある小さな「やってみたい」に気づきやすい日。まだ形になっていなくても大丈夫。その気持ちを、そっと残してみてください。,,,,,UD1 base C
2,base,,A,心地よい距離を選ぶ日,今日は、人とのつながりや自分の気持ちに目を向けやすい日。誰かに合わせすぎなくても大丈夫。心地よい距離を、そっと選んでみてください。,,,,,UD2 base A
2,base,,B,やさしいやりとりの日,今日は、何気ない会話や小さな気づかいが心に残りやすい日。無理に合わせなくても大丈夫。自分の気持ちも、大切にしてみてください。,,,,,UD2 base B
2,base,,C,心の距離を見つめる日,今日は、人とのつながりの中で自分の心の声にも気づきやすい日。近づくことも、少し離れることも、やさしい選択のひとつです。,,,,,UD2 base C
3,base,,A,心に浮かぶものを表す日,今日は、言葉や表現に小さな光が入りやすい日。うまくまとめなくても大丈夫。心に浮かんだことを、少しだけ外に出してみてください。,,,,,UD3 base A
3,base,,B,言葉にしてみる日,今日は、思ったことや感じたことを少し外に出しやすい日。きれいにまとめなくても大丈夫。心に浮かんだひとことを、残してみてください。,,,,,UD3 base B
3,base,,C,心の色を表す日,今日は、ふとした言葉や小さなひらめきに光が当たりやすい日。うまく説明できない気持ちも、今日の大切な記録になります。,,,,,UD3 base C
4,base,,A,毎日をつみ重ねる日,今日は、足もとのことをやさしく整えやすい日。全部を完璧にしなくても大丈夫。ひとつ整えるだけで、明日の安心につながっていきます。,,,,,UD4 base A
4,base,,B,ひとつ整える日,今日は、身のまわりや予定を少し整えやすい日。全部を片づけなくても大丈夫。ひとつ整えたことが、明日の自分を助けてくれます。,,,,,UD4 base B
4,base,,C,毎日の力に気づく日,今日は、いつもの中にある小さな安心を見つけやすい日。目立たないつみ重ねも、あなたを支える大切な力です。,,,,,UD4 base C
5,base,,A,自由な風を入れる日,今日は、いつもと少し違う選択が心に風を通してくれそうな日。大きく変えなくても大丈夫。小さな自由を、ひとつ選んでみてください。,,,,,UD5 base A
5,base,,B,小さな自由を選ぶ日,今日は、いつもと少し違う選択が気持ちを軽くしてくれそうな日。大きく変えなくても大丈夫。小さな自由を、ひとつ取り入れてみてください。,,,,,UD5 base B
5,base,,C,心に風を通す日,今日は、心の中に新しい風が入りやすい日。決めきれないことがあっても大丈夫。少し動いてみることで、見える景色が変わるかもしれません。,,,,,UD5 base C
6,base,,A,やさしさを整える日,今日は、身近なものや人にやさしさを向けやすい日。誰かのためだけでなく、自分の心にもあたたかい場所を作ってみてください。,,,,,UD6 base A
6,base,,B,身近なやさしさの日,今日は、身近な人や場所にあたたかさを向けやすい日。がんばりすぎなくても大丈夫。まずは自分にも、小さなやさしさを置いてみてください。,,,,,UD6 base B
6,base,,C,心をあたためる日,今日は、誰かを思う気持ちと自分を大切にする気持ちを見つめやすい日。やさしさは、外へ向けるだけでなく、内側にもめぐらせていいものです。,,,,,UD6 base C
7,base,,A,気づきを深める日,今日は、少し立ち止まることで大切な気づきに出会いやすい日。答えを急がなくても大丈夫。心に残ったことを、静かに深めてみてください。,,,,,UD7 base A
7,base,,B,気づきを拾う日,今日は、ふと気になったことを少し深めやすい日。答えを急がなくても大丈夫。心に引っかかったことを、一行だけ残してみてください。,,,,,UD7 base B
7,base,,C,静かに深める日,今日は、外のにぎやかさよりも内側の気づきに目を向けやすい日。すぐに答えを出さなくても、考えた時間そのものが記録になります。,,,,,UD7 base C
8,base,,A,力を整えて、形にする日,今日は、思いや計画を少し形にしやすい日。大きく進めなくても大丈夫。小さな一歩が、流れをひらいてくれそうです。,オレンジ・茶色,現実化|手ごたえ|形にする,成果を急がせすぎない|小さな一歩を大切にする|力をやさしく整える,成功を強調しすぎない|お金や権力に寄せすぎない|勝つ・支配する方向にしない,UD8 base A
8,base,,B,ひとつ形にする日,今日は、やりかけていたことにそっと手を添えやすい日。全部を終わらせなくても大丈夫。ひとつ進めたことが、今日の手ごたえになります。,,,,,UD8 base B
8,base,,C,力をやさしく使う日,今日は、自分の中にある力をやさしく整えたい日。無理に大きく動かなくても大丈夫。今できる一歩が、未来の形につながっていきます。,,,,,UD8 base C
9,base,,A,受けとめて、少し軽くする日,今日は、抱えていたものを少しやさしく見直せる日。無理に手放さなくても大丈夫。今の自分に必要なものを、そっと選び直してみてください。,,,,,UD9 base A
9,base,,B,少し軽くする日,今日は、抱えていたことを少し見直しやすい日。無理に手放さなくても大丈夫。今の自分に必要なものを、そっと選び直してみてください。,,,,,UD9 base B
9,base,,C,受けとめて整える日,今日は、これまでの気持ちや出来事をやさしく受けとめやすい日。すべてを答えにしなくても大丈夫。心に残ったものから、少しずつ整えてみてください。,,,,,UD9 base C
