todayNumber,lifePathNumber,character,messageType,variant,season,colorName,body,action1,action2,notes
1,1,owl,base,A,summer,赤,夏の朝の光が、あなたの始める力をそっと照らしてくれそうです。大きく動かなくても、小さな一歩で十分です。,気になっていたことをひとつ始める,今日の目標を短く書いてみる,UD1×LP1×owl summer A
1,2,owl,base,A,summer,白,白い夏雲のように、あなたのやさしい気持ちに小さな意志が浮かびそうです。誰かに合わせすぎず、自分の一歩も選んでみてください。,自分の気持ちを一行だけ書く,心地よい距離をひとつ選ぶ,UD1×LP2×owl summer A
1,3,owl,base,A,summer,黄色,蝉の声に誘われるように、あなたの言葉やひらめきが外へ出やすくなりそうです。まずは思いついたことを、ひとつ形にしてみてください。,浮かんだ言葉をメモする,小さな発信やひとことを書く,UD1×LP3×owl summer A
1,4,owl,base,A,summer,緑,夏草が少しずつ伸びるように、毎日のつみ重ねに新しい一歩が加わりそうです。急がず、できることをひとつ始めてみてください。,今日の予定をひとつ決める,小さな習慣をひとつ始める,UD1×LP4×owl summer A
1,5,owl,base,A,summer,青,夏の風が、あなたの自由な感覚に新しいきっかけを運んでくれそうです。いつもと少し違う選択を、ひとつ試してみてください。,行き方や順番を少し変える,気になることを軽く試してみる,UD1×LP5×owl summer A
1,6,owl,base,A,summer,ピンク,風鈴の音のように、あなたの優しさが新しい形でそっと響きそうです。誰かのためだけでなく、自分のための一歩も大切にしてください。,自分に小さなごほうびを用意する,頼まれごとをひとつ見直す,UD1×LP6×owl summer A
1,7,owl,base,A,summer,紺・藍色,木陰の静けさが、あなたの中にある問いを新しい気づきへ向けてくれそうです。答えを急がず、気になることを少し深めてみてください。,気になった言葉を調べてみる,考えたことを一行だけ残す,UD1×LP7×owl summer A
1,8,owl,base,A,summer,オレンジ・茶色,入道雲のように、あなたの力が新しい行動へむくむく育っていきそうです。大きな結果より、まずは一歩進めた手ごたえを大切にしてください。,進めたいことをひとつ始める,今日の優先順位を決める,UD1×LP8×owl summer A
1,9,owl,base,A,summer,紫,夕立のあとの空気が、あなたの広いまなざしに新しい始まりを見せてくれそうです。すべてを抱えず、今の自分に必要な一歩を選んでみてください。,抱えていることをひとつ整理する,今できることをひとつ選ぶ,UD1×LP9×owl summer A
1,11,owl,base,A,summer,シルバー,夏の星のように、あなたのひらめきに小さな始まりの光が灯りそうです。まだ説明できなくても、感じたことを残してみてください。,浮かんだ直感をメモする,静かな時間を少しつくる,UD1×LP11×owl summer A
1,22,owl,base,A,summer,ゴールド,青空に伸びる雲のように、あなたの構想が小さな始まりへ分かれていきそうです。大きく考えすぎず、今日できる一歩から形づくってみてください。,大きな予定を一段階だけ進める,最初の手順をひとつ書き出す,UD1×LP22×owl summer A
1,33,owl,base,A,summer,レインボー,夏の夕焼けのように、あなたの深い優しさが新しい向け先を照らしてくれそうです。誰かを包む前に、自分の心にもあたたかさを置いてください。,自分を満たす時間を先に取る,優しさを向ける相手をひとつ選ぶ,UD1×LP33×owl summer A
2,1,owl,base,A,summer,赤,朝顔がひらくように、あなたの始める力にやさしい受け取り方が添えられそうです。ひとりで急がず、誰かの言葉にも耳を向けてみてください。,誰かの意見をひとつ聞いてみる,始めたいことをやさしく伝える,UD2×LP1×owl summer A
2,2,owl,base,A,summer,白,夏の木陰のように、あなたの繋がる力をやさしく整えてくれそうです。合わせすぎず、自分の心地よさも大切にしてみてください。,無理のない距離をひとつ選ぶ,自分の気持ちを一行だけ書く,UD2×LP2×owl summer A
2,3,owl,base,A,summer,黄色,風鈴の音のように、あなたの言葉にやわらかな響きが添えられそうです。楽しく話すだけでなく、相手の気持ちも受け取ってみてください。,短い感謝をひとつ伝える,聞いてうれしかった言葉を残す,UD2×LP3×owl summer A
2,4,owl,base,A,summer,緑,夏草のあいだを風が通るように、毎日のつみ重ねに人とのあたたかさが運ばれてきそうです。ひとりで抱えず、頼れるところを見つけてみてください。,頼めることをひとつ考える,身近な人にひとこと声をかける,UD2×LP4×owl summer A
2,5,owl,base,A,summer,青,夏の海風が、あなたの自由な動きに心地よい距離感を教えてくれそうです。動きたい気持ちと、誰かとの調和を両方大切にしてみてください。,予定をひとつ相談して決める,ひとり時間と人との時間を分ける,UD2×LP5×owl summer A
