No.,テンプレートID,カテゴリ,出力条件,現在の文言,使っている変数,表示位置,備考
163,calendar_month_1_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 1（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、小さく始めることに意味が宿りやすい時期です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 始まり・切り替え・自分から動く
164,calendar_month_1_2,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 1（calendarMonth 1→1 … 10→1, 11→2, 12→3）",自分から選んだ一歩が、この月はとくに生きてきます。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 始まり・切り替え・自分から動く
165,calendar_month_1_3,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 1（calendarMonth 1→1 … 10→1, 11→2, 12→3）",まだ形にならなくても、始めたこと自体を大切にしていきましょう。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 始まり・切り替え・自分から動く
166,calendar_month_2_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 2（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、受け取ることに少し意識を向けると、見えてくるものがあります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 調和・受け取る・人との距離感
167,calendar_month_2_2,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 2（calendarMonth 1→1 … 10→1, 11→2, 12→3）",急いで決めるより、少し感じ取る時間が合っている月です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 調和・受け取る・人との距離感
168,calendar_month_2_3,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 2（calendarMonth 1→1 … 10→1, 11→2, 12→3）",誰かとの距離感や、自分の心の反応が見えやすい時期です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 調和・受け取る・人との距離感
169,calendar_month_3_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 3（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、言葉にしたことや小さな表現が広がりやすい時期です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 楽しさ・表現・言葉・軽やかさ
170,calendar_month_3_2,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 3（calendarMonth 1→1 … 10→1, 11→2, 12→3）",軽やかに動いたことが、この月は次の楽しさにつながっていきます。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 楽しさ・表現・言葉・軽やかさ
171,calendar_month_3_3,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 3（calendarMonth 1→1 … 10→1, 11→2, 12→3）",明るさや遊び心を少し混ぜると、流れがやわらかくなります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 楽しさ・表現・言葉・軽やかさ
172,calendar_month_4_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 4（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、形に残す意識が助けになります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 整える・土台・慎重さ・形にする
173,calendar_month_4_2,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 4（calendarMonth 1→1 … 10→1, 11→2, 12→3）",勢いだけでなく、丁寧に整えながら進む月です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 整える・土台・慎重さ・形にする
174,calendar_month_4_3,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 4（calendarMonth 1→1 … 10→1, 11→2, 12→3）",足元を整えることが、この時期は自分の支えになっていきます。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 整える・土台・慎重さ・形にする
175,calendar_month_5_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 5（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、いつもと違う選択や小さな変化が入りやすい時期です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 変化・風・移動・自由
176,calendar_month_5_2,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 5（calendarMonth 1→1 … 10→1, 11→2, 12→3）",動きながら感じたことが、次のヒントになりそうです。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 変化・風・移動・自由
177,calendar_month_5_3,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 5（calendarMonth 1→1 … 10→1, 11→2, 12→3）",この月は、少し自由に動いてみることが合っています。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 変化・風・移動・自由
178,calendar_month_6_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 6（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、誰かへのやさしさや思いやりが重なりやすい時期です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: やさしさ・家族・人とのつながり・ケア
179,calendar_month_6_2,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 6（calendarMonth 1→1 … 10→1, 11→2, 12→3）",自分だけでなく、周りとのあたたかい関係もテーマになる月です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: やさしさ・家族・人とのつながり・ケア
180,calendar_month_6_3,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 6（calendarMonth 1→1 … 10→1, 11→2, 12→3）",心を向けたい相手や、大切にしたいものが見えやすい時期です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: やさしさ・家族・人とのつながり・ケア
181,calendar_month_7_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 7（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、外へ広げるより内側を見つめる時間が合っています。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 内省・探求・静けさ・自分の世界
182,calendar_month_7_2,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 7（calendarMonth 1→1 … 10→1, 11→2, 12→3）",静かに考えたり、自分の感覚を深めたりすることが生きる月です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 内省・探求・静けさ・自分の世界
183,calendar_month_7_3,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 7（calendarMonth 1→1 … 10→1, 11→2, 12→3）",表に出ない気づきほど、あとから大切になることがあります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 内省・探求・静けさ・自分の世界
184,calendar_month_8_1,暦の月アクセント,"ベース本文の文字数 < 120。重なりアクセントが未適用のとき。暦の月を桁おろしした数字 = 8（calendarMonth 1→1 … 10→1, 11→2, 12→3）",今月は、動いたことが形になったり、手ごたえとして見えやすい時期です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_month。テーマ: 成果・力・現実化・豊かさ
